Neuron1,Neuron2,Type,Nbr
ADAR,ADAL,EJ,1
ADFL,ADAL,EJ,1
ASHL,ADAL,EJ,1
AVDR,ADAL,EJ,2
PVQL,ADAL,EJ,1
ADEL,ADAL,S,1
ADFL,ADAL,S,1
AIAL,ADAL,S,1
ASHL,ADAL,S,1
AWAL,ADAL,S,1
PVPL,ADAL,S,1
PVR,ADAL,S,1
RMGL,ADAL,S,1
ADAL,ADAR,EJ,1
ADFR,ADAR,EJ,1
ASHR,ADAR,EJ,1
AVDL,ADAR,EJ,2
PVQR,ADAR,EJ,1
ADER,ADAR,S,1
ADFR,ADAR,S,1
AIAR,ADAR,S,1
ASHR,ADAR,S,2
RICL,ADAR,S,1
RICR,ADAR,S,1
RIMR,ADAR,S,1
RMGR,ADAR,S,1
URBR,ADAR,S,1
AINL,ADEL,EJ,1
AVKR,ADEL,EJ,1
ADER,ADEL,S,2
ALA,ADEL,S,1
BDUL,ADEL,S,3
FLPL,ADEL,S,2
IL2L,ADEL,S,2
ADEL,ADER,S,1
AVKL,ADER,EJ,1
ALNR,ADER,S,1
AVAR,ADER,S,1
AVM,ADER,S,1
BDUR,ADER,S,1
FLPL,ADER,S,2
FLPR,ADER,S,1
IL2R,ADER,S,1
ADAL,ADFL,EJ,1
ASHL,ADFL,S,3
AWBL,ADFL,S,8
ADAR,ADFR,EJ,1
AIAR,ADFR,EJ,1
AIYR,ADFR,S,1
ASEL,ADFR,S,1
ASHR,ADFR,S,2
AVHL,ADFR,S,3
AWAR,ADFR,S,3
AWBR,ADFR,S,3
PVPR,ADFR,S,1
RIH,ADFR,S,1
ADLR,ADLL,EJ,1
AVDR,ADLL,EJ,1
OLQVL,ADLL,EJ,1
RMGL,ADLL,EJ,1
AVHR,ADLL,S,1
CEPVL,ADLL,S,1
SDQR,ADLL,S,1
ADLL,ADLR,EJ,1
AIAR,ADLR,S,2
AVHR,ADLR,S,2
AFDR,AFDL,EJ,1
AIBL,AFDL,EJ,1
AINR,AFDL,S,3
ASER,AFDL,S,1
AWAL,AFDL,S,4
AFDL,AFDR,EJ,1
AIBR,AFDR,EJ,1
AINL,AFDR,S,3
AINR,AFDR,S,1
ASER,AFDR,S,2
AWAR,AFDR,S,6
RIR,AFDR,S,1
ADLL,AIAL,S,4
AIAR,AIAL,EJ,1
ASIL,AIAL,EJ,2
AWAL,AIAL,EJ,1
AIML,AIAL,S,4
AINR,AIAL,S,2
AIZL,AIAL,S,3
ASEL,AIAL,S,3
ASER,AIAL,S,1
ASGL,AIAL,S,6
ASHL,AIAL,S,5
ASIR,AIAL,S,1
ASKL,AIAL,S,7
AWCL,AIAL,S,2
HSNL,AIAL,S,1
PVQL,AIAL,S,3
ADLR,AIAR,S,8
ADFR,AIAR,EJ,1
AIAL,AIAR,EJ,1
ASIR,AIAR,EJ,2
AWAR,AIAR,EJ,1
AIMR,AIAR,S,5
AIZR,AIAR,S,1
ASER,AIAR,S,2
ASGR,AIAR,S,8
ASHR,AIAR,S,6
ASIR,AIAR,S,2
ASKR,AIAR,S,8
AWCL,AIAR,S,3
AWCR,AIAR,S,1
PVQR,AIAR,S,4
ADAL,AIBL,S,1
ADAR,AIBL,S,1
ADLL,AIBL,S,5
AIAL,AIBL,S,7
AFDL,AIBL,EJ,1
DVC,AIBL,EJ,1
PVT,AIBL,EJ,1
RIGR,AIBL,EJ,3
RIMR,AIBL,EJ,1
RIVL,AIBL,EJ,1
AINR,AIBL,S,2
AIZL,AIBL,S,2
AIZR,AIBL,S,7
ASEL,AIBL,S,6
ASER,AIBL,S,2
ASGL,AIBL,S,3
ASHL,AIBL,S,3
ASIL,AIBL,S,1
ASKL,AIBL,S,2
AWCL,AIBL,S,1
BAGL,AIBL,S,1
DVC,AIBL,S,1
FLPL,AIBL,S,1
HSNR,AIBL,S,1
PVT,AIBL,S,2
RIBR,AIBL,S,1
RIMR,AIBL,S,4
SAADL,AIBL,S,1
SAAVL,AIBL,S,1
SDQR,AIBL,S,2
ADAL,AIBR,S,2
ADAR,AIBR,S,1
ADLL,AIBR,S,1
ADLR,AIBR,S,10
AIAR,AIBR,S,8
AFDR,AIBR,EJ,1
DVC,AIBR,EJ,2
PVT,AIBR,EJ,1
RIGL,AIBR,EJ,3
RIML,AIBR,EJ,1
RIS,AIBR,EJ,1
RIVR,AIBR,EJ,1
AIZL,AIBR,S,6
AIZR,AIBR,S,1
ASEL,AIBR,S,2
ASER,AIBR,S,9
ASGR,AIBR,S,2
ASHR,AIBR,S,2
ASIR,AIBR,S,1
AWBL,AIBR,S,1
AWCL,AIBR,S,1
AWCR,AIBR,S,4
DVC,AIBR,S,3
FLPL,AIBR,S,2
FLPR,AIBR,S,1
HSNR,AIBR,S,1
PVT,AIBR,S,4
RIBL,AIBR,S,2
RMGL,AIBR,S,1
SAADR,AIBR,S,1
SDQL,AIBR,S,1
AIAL,AIML,S,2
SIBDR,AIML,EJ,1
ASKL,AIML,S,2
ASKR,AIMR,S,1
RMGR,AIMR,S,1
ADEL,AINL,EJ,1
AINR,AINL,EJ,2
ASGR,AINL,EJ,1
AUAR,AINL,EJ,1
AFDL,AINR,S,1
AINL,AINR,EJ,2
ASGL,AINR,EJ,1
AUAL,AINR,EJ,1
ASGL,AINR,S,1
AFDL,AIYL,S,7
AIBL,AIYL,S,1
AIYR,AIYL,EJ,1
